"product_name","product_price","product_price_range","product_type","product_body","product_variety","product_country","product_region","product_size","product_vintage","product_closure","product_seller","product_rating"
"2024 Adelina Smith Vineyard Riesling","Sale price
$38.00","$31 to $40","White","Body","Riesling","","","SA","High Score
Organic
Women in Wine","Halliday Wine Companion
The Wine Front
James Suckling","Clare Valley",""
"2023 Savaterre Frere Cadet Chardonnay","Sale price
$70.00","$51 to $100","White","Body","Chardonnay","Australia","Beechworth","Halliday Wine Companion
The Wine Front
Inside Burgundy","95
94","13%","Beechworth",""
"2023 Chateau de L'Aumerade Cote de Provence","Sale price
$33.00","$31 to $40","Rosé","Body","Grenache","France","Provence","2023","Screw Cap","","Provence",""
"2024 Yarra Yering Light Dry Red","Sale price
$79.00","$51 to $100","","Body","Pinot Noir","","","VIC","High Score
Iconic
Women in Wine","750ml","Yarra Valley",""
"2021 The Story Marsanne Roussanne Viognier","Sale price
$29.00","$30 or Less","White","Body","Marsanne","Australia","Grampians","Halliday Wine Companion","95","12.5%","Grampians",""
"NV Jansz Premium Cuvée","Sale price
$25.00","$30 or Less","Sparkling","Country","","","","Cork","","","",""
"2023 Moorooduc Estate Pinot Noir","Sale price
$40.00","$41 to $50","","Body","Pinot Noir","Australia","Mornington Peninsula","The Real Review","93","13.5%","Mornington Peninsula",""
"2022 Yarra Yering Underhill Shiraz","Sale price
$130.00","$101 and Above","","Body","Shiraz","Australia","Yarra Valley","High Score
Iconic
Women in Wine","Halliday Wine Companion
The Real Review","98
95","Yarra Valley",""
"2023 MMAD Grenache","Sale price
$70.00","$51 to $100","","Body","Grenache","Australia","McLaren Vale","High Score","The Wine Advocate
The Real Review
The Wine Front
Wine Pilot
Halliday Wine Companion
James Suckling","97
93
92
91
95","McLaren Vale",""
"2024 Sherrah Fiano","Sale price
$28.00","$30 or Less","White","Body","Fiano","Australia","McLaren Vale","Halliday Wine Companion","95","12%","McLaren Vale",""
"2023 Ashton Hills Piccadilly Valley Chardonnay","Sale price
$39.00","$31 to $40","White","Body","Chardonnay","Australia","Adelaide Hills","The Wine Front
Halliday Wine Companion
The Wine Advocate","95","12%","Adelaide Hills",""
"2025 Oliver's Taranga Small Batch Fiano","Sale price
$24.00","$30 or Less","White","Body","Fiano","Australia","McLaren Vale","Women in Wine
High Score","Halliday Wine Companion","95","McLaren Vale",""
"2024 Voyager Chenin Blanc","Sale price
$27.00","White","Chenin Blanc","Country","Margaret River","","","95
94","750ml","2024","Margaret River",""
"2025 Helm Premium Riesling","Sale price
$55.00","$51 to $100","White","Body","Riesling","Australia","Canberra","The Wine Front","96","11%","Canberra",""
"2023 Jean Foillard Morgon Cote du Py","Sale price
$99.00","$101 and Above","","Body","Gamay","France","Beaujolais","Vinous","94","750ml","Beaujolais",""
"2024 Fighting Gully Road Sangiovese","Sale price
$35.00","$31 to $40","","Body","Sangiovese","Australia","Beechworth","High Score","Halliday Wine Companion","96","Beechworth",""
"2024 Dominique Portet Fontaine Cabernets","Sale price
$28.00","$30 or Less","","Body","Cabernet Sauvignon","","","VIC","Halliday Wine Companion","95","Yarra Valley",""
"2025 Nick Spencer Gundagai Rose","Sale price
$26.00","$30 or Less","Rosé","Body","Grenache","","","NSW","The Wine Front","93","Gundagai",""
"2025 Mercer Wines Bianco Vermentino","Sale price
$29.00","$30 or Less","White","Body","Vermentino","Australia","Hunter Valley","750ml","2025","Screw Cap","Hunter Valley",""
"2023 Express Winemakers Chenin Blanc","Sale price
$33.00","$31 to $40","White","Body","Chenin Blanc","Australia","Great Southern","13%","750ml","2023","Great Southern",""
"2021 Blue Poles Allouran Merlot Cabernet Franc","Sale price
$38.00","$31 to $40","","Body","Merlot","Australia","Margaret River","The Wine Front","94","13%","Margaret River",""
